Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (18170-NO WOODBURY),946241,5579,18170,1041.67,49,48,21.26,127.12,50.33,195.00,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (18576-WINSLOW),946252,5579,18576,1605.03,68,68,23.60,202.86,181.25,734.77,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1323.14,58,58,22.81,158.34,79.09,278.95,3.00,24.73,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,616.79,25,25,24.67,75.25,33.00,135.18,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (2401-TURNERSVILLE),946258,5579,2401,918.86,38,36,24.18,105.53,72.50,277.21,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (4592-OCEAN CITY),659406,5579,4592,375.36,13,13,28.87,46.15,14.38,74.46,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1698.43,69,69,24.61,217.48,79.09,361.51,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (12008-CROSS KEYS),946236,5579,12008,564.87,28,28,20.17,71.24,22.17,92.05,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1647.20,80,80,20.59,192.37,193.07,748.53,3.00,27.59,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (18170-NO WOODBURY),946241,5579,18170,1249.37,57,57,21.92,151.85,57.52,229.72,3.00,17.79,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (18576-WINSLOW),946252,5579,18576,1359.69,60,60,22.66,179.00,84.51,318.68,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1402.00,67,67,20.93,166.61,79.09,354.44,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,538.97,25,25,21.56,60.72,49.13,232.91,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (2401-TURNERSVILLE),946258,5579,2401,518.94,23,23,22.56,59.36,43.14,128.86,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (4592-OCEAN CITY),659406,5579,4592,946.33,37,36,25.58,114.27,35.95,123.62,0.00,0.00,USD
Day of 2024-08-24,2024-08-24,2024-08-24,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,2081.87,93,93,22.39,261.02,122.23,459.97,0.00,0.00,USD
